Room,Room Temperature,Valve Angle,System Set Temperature and Room Temperature Difference,Forest Anomaly Score
003,0,93,36,10
102,0,0,0,0
106,0,3,22,10
107,0,0,0,0
108,0,0,0,0
109,60,0,26,10
111,0,0,0,0
112,0,1,0,0
114,2,0,2,0
116,0,93,0,10
118,3,0,0,0
119,0,93,1,0
120,96,0,0,0
121,0,93,0,0
122,1,0,2,0
200,0,93,0,0
202,2,3,2,0
203,0,70,0,0
204,0,0,13,0
205,36,0,90,0
206,0,93,0,0
207,16,93,16,0
208,4,0,4,0
209,0,0,0,0
211,2,93,2,0
212,1,0,1,0
213,8,0,8,0
214,2,0,2,0
215,0,30,0,0
216,0,93,0,0
300,0,34,1,10
302,11,0,11,0
303,76,9,34,10
304,90,50,89,10
305,13,93,13,0
306,5,0,91,10
307,92,0,5,0
308,7,0,0,0
309,74,93,94,10
311,0,0,0,0
312,0,0,0,0
313,89,0,7,0
314,2,93,94,10
315,3,0,96,10
316,2,24,2,0
400,96,0,0,0
401,10,57,12,0
402,10,0,22,0
403,96,0,0,0
404,34,2,34,0
405,0,0,0,0
406,4,0,4,0
407,10,0,4,0
411,0,0,57,10
412,8,0,12,0
413,0,0,2,0
414,1,0,4,0
415,49,0,44,10
B4,4,93,81,0
G04,19,27,19,0
G05,13,0,13,0
G06,8,0,8,0
G07,0,0,0,0
G08,10,0,10,0
G09,5,0,5,0
G10,3,0,3,0
G11,0,0,0,0
G14,33,0,33,0
G16,74,93,94,10
G17,13,22,41,10
G18,5,0,5,0
G19,9,0,9,0
G20,1,0,1,0
G21,1,0,1,0
G26,74,0,76,10
